,package,description,category
810,,"['designed', 'sql', 'server', 'developer', 'database', 'administrator', 'quickly', 'identify', 'potential', 'performance', 'bottleneck', 'stored', 'procedure']",Developer tools  >  Database
1447,,"['icon', 'generate', 'click', 'requires', 'ordered', 'vector', 'file', '.3b', 'format', 'provide', 'original', 'design']",Developer tools  >  Design tools
1885,,"['developer', 'generate', 'api', 'document', 'export', 'json', 'file', 'postman', 'tool', ""'ll"", 'api', 'document', '.md', 'extention']",Developer tools  >  Utilities
1922,,"['markdown', 'viewer', 'tool', 'read', 'md', 'file']",Developer tools  >  Utilities
1931,,"['crc', 'calculation', 'include', 'check', 'sum', 'crc-8', 'crc-16', 'crc-16', 'modbus', 'crc-16', 'sick', 'crc-ccitt', 'xmodem', 'crc-ccitt', '0xffff', 'crc-ccitt', '0x1d0f', 'crc-ccitt', 'kermit', 'crc_dnp', 'crc_32']",Developer tools  >  Utilities
2005,,"['simple', 'lightweight', 'application', 'test', 'highlight', 'regular', 'expression', 'user', 'desired', 'text']",Developer tools  >  Utilities
2129,,"['guid', 'generator', 'tool', 'generate', 'guid', 'generate', 'batch', 'guid']",Developer tools  >  Utilities
2683,,"['experience', 'power', 'componentone', 'uwp', 'ui', 'control', 'dashboard', 'demo', 'display', 'sale', 'profit', 'comparison', 'goal', 'top', 'product', 'customer', 'primary', 'control', 'include', 'flexchart', 'lineargauge', 'flexgrid', 'map', 'funnelchart']",Developer tools
2685,,"['demo', 'showcase', 'flexreport', 'flexviewer', 'two', 'component', 'included', 'componentone', 'studio', 'uwp', 'flexreport', 'next', 'generation', 'c1report', 'band', 'oriented', 'report', 'generator', 'also', 'available', 'universal', 'window', 'platform', 'uwp', 'version', 'generates', 'report', 'right', 'client', 'connect', 'reporting', 'server', 'report', 'flexreport', 'connected', 'data', 'source', 'flexviewer', 'providing', 'ui', 'view', 'print', 'export', 'generated', 'report', 'demo', 'includes', 'various', 'report', 'type', 'enterprise', 'medical', 'financial', 'telecom', 'showcase', 'different', 'available', 'field', 'type', 'including', 'powerful', 'paragraph', 'field', 'barcodes', 'image', 'various', 'report', 'layout', 'data', 'formatting', 'common', 'advanced', 'reporting', 'task', 'also', 'demonstrated']",Developer tools
2694,,"['opendss-g', 'fomer', 'dssim-pc', 'step', 'evolution', 'simulation', 'tool', 'planning', 'operation', 'based', 'opendss', 'interface', 'adopted', 'functionality', 'opendss', 'making', 'easier', 'user', 'advance', 'platform', 'version', 'includes', 'parallel', 'processing', 'included', 'opendss', 'interface', 'faster', 'using', 'graphical', 'object', 'form', 'user', 'describe', 'power', 'system', 'configure', 'processor', 'utilization', 'many', 'advance']",Developer tools  >  Development kits
2892,,"['configuration', 'tool', 'setting', 'popular', 'grbl', 'cnc', 'machine', 'motion', 'controller', 'using', 'window', 'version', 'added', '5-axis', 'grbl-mega-5x', 'full', 'information', 'found', '//www.ukcnc.net/index.php/products/motion-controllers/', 'grbl', 'open', 'source', 'high', 'performance', 'software', 'controlling', 'motion', 'machine', 'move', 'make', 'thing', 'make', 'thing', 'move', 'run', 'straight', 'arduino', 'maker', 'movement', 'industry', 'grbl', 'would', 'industry', 'standard', 'open', 'source', '3d', 'printer', 'grbl', 'heart', 'adapted', 'hundred', 'project', 'including', 'laser', 'cutter', 'automatic', 'hand', 'writer', 'hole', 'drillers', 'graffiti', 'painter', 'oddball', 'drawing', 'machine', 'due', 'performance', 'simplicity', 'frugal', 'hardware', 'requirement', 'grbl', 'grown', 'little', 'open', 'source', 'phenomenon', 'full', 'information', 'code', 'found', '//github.com/gnea/grbl/wiki']",Developer tools  >  Utilities
2934,,"['reproducing', 'publishing', 'bug']",Developer tools  >  Reference & training
3068,,"['application', 'maily', 'designed', 'studying', 'behavior', 'multi', 'instance', 'uwp', 'target', 'uwp', 'developer', 'source', 'code', 'available', '//github.com/pnp0a03/multiinstancetrial']",Developer tools  >  Reference & training
3187,,"['useful', 'color', 'palette', 'color', 'rgb', 'hex']",Developer tools  >  Design tools
3239,,"['flight', 'simulator', 'program', 'azure', 'iot', 'workbench', 'flysim', 'sample', 'connects', 'flysim', 'eventhub', 'see', '//github.com/azure/cloudiothack/blob/master/readme.md', 'howto', 'connect']",Developer tools  >  Development kits
3322,,"['color', 'palette', 'window', 'tool', 'designer', 'developer', 'colorcoder', 'allows', 'capture', 'color', 'anywhere', 'screen', 'store', 'manageable', 'pallet', 'click', 'color', 'palette', 'hex', 'code', 'copied', 'clipboard', 'put', 'keyboard', 'buffer', 'universal', 'whatever', 'code', 'editor', 'graphic', 'program', 'prefer', 'create', 'share', 'palette', 'peer', 'better', 'manage', 'team', 'project', 'design', 'designed', 'originally', 'solve', 'problem', 'capturing', 'color', 'outside', 'graphic', 'program', 'grown', 'much', 'please', 'note', 'desktop', 'open', 'initially', 'system', 'tray', 'issue', 'question', 'please', 'visit', 'version', 'limited', 'open', 'palette', 'color', 'per', 'palette', 'hardcore', 'coloring', 'check', 'pro', 'version']",Developer tools  >  Design tools
3346,,"['best', 'quick', 'solution', 'question', 'stackoverflow', 'tech', 'ideal', 'unique', 'application', 'provide', 'answer', 'related', 'question', 'different', 'single', 'anyone', 'search', 'programming', 'related', 'question', 'question', 'search', 'show', 'answer', 'stack', 'overflow', 'apply', 'filter', 'search', 'question', 'type', 'filter', 'accepted', 'answer', 'voted', 'answer', 'quick', 'simple', 'design', 'provide', 'easy', 'interface']",Developer tools  >  Utilities
3493,,"['welcome', 'universal', 'color', 'utility', 'definitive', 'universal', 'create', 'color', 'palette', 'application', 'let', 'create', 'color', 'scheme', 'suitable', 'uwp', 'universal', 'window', 'platform', 'xaml', 'color', 'dictionary', 'right', 'change', 'palette', 'create', 'color', 'scheme', 'search', 'color', 'easily', 'search', 'box', 'save', 'favorite', 'color', 'export', 'color', 'dictionay', 'right', 'version', 'mix', 'color', 'design', 'color', 'scheme', 'view', 'pro', 'version', 'design', 'limitless', 'color', 'scheme', 'export', 'share', 'search', 'color', 'save', 'favorite', 'color']",Developer tools  >  Design tools
3519,,"['application', 'allows', 'view', 'development', 'programming', 'conference', 'recorded', 'different', 'internet', 'platform', 'series', 'predefined', 'channel', 'category', 'user', 'add', 'channel', 'website', 'user', 'view', 'video', 'delete', 'video', 'interest', 'mark', 'favorite', 'etc']",Developer tools  >  Reference & training
3536,,"['uwp', 'devkit', 'simple', 'complete', 'open-source', 'developer', 'toolkit', 'uwp', 'developer', 'downloads', 'provides', 'user', 'following', 'functionality', 'dev', 'shortcut', 'icon', 'browser', 'uri', 'tester', 'asset', 'generator', 'window', 'blog', 'buildfeed', 'guid', 'generator', 'regular', 'expression', 'tester', 'regex', 'helper', 'note', 'coming', 'future', 'release']",Developer tools  >  Development kits
3665,,"['nuviot', 'iot', 'simulator', 'product', 'provided', 'software', 'logistics', 'let', 'create', 'simulated', 'device', 'build', 'library', 'message', 'template', 'simulator', 'send', 'iot', 'simulator', 'implement', 'common', 'protocol', 'including', 'rest', 'mqtt', 'amqp', 'well', 'microsoft-specific', 'service', 'microsoft', 'iot', 'hub', 'azure', 'event', 'hub', 'azure', 'service', 'bus', 'even', 'send', 'raw', 'binary', 'data', 'via', 'tcp/udp', 'using', 'product', 'requires', 'create', 'account', 'allows', 'simulator', 'stored', 'cloud', 'accessed', 'different', 'iphones', 'shared', 'team']",Developer tools  >  Utilities
3702,,"['wiced', 'stduio', 'source', 'code', 'generator']",Developer tools  >  Development kits
3730,,"['fontiary', 'character', 'map', 'utility', 'allows', 'check', 'font', 'installed', 'system', 'character', 'contain', 'browse', 'glyph', 'filter', 'unicode', 'range', 'information', 'glyph', 'unicode', 'code', 'point', 'decimal', 'hexadecimal', 'codification', 'html', 'entity', 'name', 'check', 'easily', 'special', 'character', 'font', 'copy', 'document', 'save', 'font', 'favorite', 'quick', 'access', 'symbol', 'emoji', 'font', 'supported']",Developer tools  >  Design tools
3959,,"['application', 'used', 'test', 'different', 'audio', 'video', 'codecs/containers', 'device', 'running', 'window', 'application', 'following', 'codecs', 'hevc', 'h.264', 'vc-1', 'wma', 'mp3', 'aac', 'flac', 'following', 'container', 'mp4', 'mpeg2-ts', 'hl', 'smooth', 'streaming', 'dash', 'cd', 'player', 'playlist', 'creator', 'content', 'stored', 'locally', 'azure', 'cloud', 'added', 'recently', 'moreover', 'content', 'protected', 'playready', 'current', 'version', 'application', 'playlist', 'audio/video/picture', 'content', 'live', 'protected', 'playready', 'track', 'cd', 'desktop', 'xbox', 'extract', 'cd', 'track', 'local', 'wav', 'file', 'create', 'playlist', 'audio/video/picture', 'content', 'file', 'stored', 'locally', 'cloud', 'transform', 'window', 'device', 'remote', 'control', 'configure', 'application', 'menu', 'button', 'color', 'auto', 'start', 'content', 'loop', 'playlist', 'loop', 'information', 'source', 'code', '//github.com/flecoqui/testmediaapp']",Developer tools  >  Utilities
4087,,"['open', 'sqlite', 'database', 'explore', 'internal', 'organisation', 'various', 'object', 'schema', 'table', 'index', 'understand', 'sqlite3', 'data', 'organised', 'please', 'see', 'database', 'file', 'format', '//www.sqlite.org/fileformat.html', 'sqlite', 'application', 'viewing', 'internal', 'organisation', 'sqlite', 'database', 'software', 'development', 'troubleshooting', 'studying', 'format', 'sqlite', 'database', 'academic', 'purpose', 'forensic', 'investigator', 'may', 'view', 'data', 'deleted', 'opening', 'sqlite', 'database', 'displaying', 'first', 'containing', 'header', 'schema', 'root', 'opening', 'internal', 'may', 'b-tree', 'freelist', 'overflow', 'exploring', 'root', 'internal', 'leaf', 'b-tree', 'hierarchically', 'parsing', 'displaying', 'cell', 'content', 'b-tree', 'exploring', 'freelist', 'deleted', 'trunk', 'leaf', 'usage', 'download', 'sqlite', 'database', 'open', 'application', 'import', 'sqlite', 'explorer', 'alternatively', 'clicking', 'open', 'database', 'button', 'user', 'select', 'database', 'file', 'explore', 'sample', 'database', 'chinook.db', 'provided', 'selected', 'application', 'specific', 'subfolder', 'downloads', 'folder', 'device', 'application', 'open', 'header', 'find', 'size', 'provides', 'link', 'user', 'expand', 'header', 'first', 'invariably', 'contains', 'header', 'schema', 'definition', 'table', 'index', 'schema', 'fit', 'first', 'definition', 'seen', 'detail', 'section', 'form', 'table', 'cell', 'heading', 'exploring', 'data', 'table', 'index', 'open', 'button', 'table/index', 'cell', 'section', 'may', 'clicked', 'open', 'root', 'table', 'index', 'exploration', 'carried', 'clicking', 'button', 'detail', 'section', 'schema', 'spill', 'first', 'contains', 'link', 'different', 'schema', 'information', 'stored', 'link', 'seen', 'detail', 'section', 'cell', 'heading', 'open', 'button', 'right', 'pointer', 'cell', 'content', 'byte', 'shown', 'hex', 'decimal', 'text', 'representation', 'also', 'possible', 'open', 'random', 'database', 'entering', 'number', 'clicking', 'open', 'button', 'bottom', 'sqlite', 'sqlite', 'self-contained', 'high-reliability', 'embedded', 'full-featured', 'public-domain', 'sql', 'database', 'engine', 'sqlite', 'used', 'database', 'engine', 'world', 'sqlite', 'embedded', 'sql', 'database', 'engine', 'unlike', 'sql', 'database', 'sqlite', 'separate', 'server', 'process', 'sqlite', 'read', 'writes', 'directly', 'ordinary', 'disk', 'file', 'complete', 'sql', 'database', 'multiple', 'table', 'index', 'trigger', 'view', 'contained', 'single', 'disk', 'file', 'database', 'file', 'format', 'cross-platform', 'freely', 'copy', 'database', '32-bit', '64-bit', 'system', 'big-endian', 'little-endian', 'architecture', 'make', 'sqlite', 'popular', 'choice', 'application', 'file', 'format', 'sqlite', 'database', 'file', 'recommended', 'storage', 'format', 'u', 'library', 'congress']",Developer tools  >  Database
4223,,"['would', 'view', 'data', 'file', 'hexadecimal', 'code']",Developer tools  >  Utilities
4228,,"['convert', 'number', 'base', 'bcd', '8-bit', 'base', 'bcd', '-bit', 'floating-point']",Developer tools  >  Utilities
4270,,"['type', 'event', 'method', 'property', 'oh', 'uwp', 'let', 'search', 'view', 'apis', 'universal', 'window', 'platform']",Developer tools  >  Reference & training
4337,,"['aklau', 'simple', 'query', 'sql', 'small', 'simple', 'software', 'query', 'sql', 'server', 'database', 'execute', 'select', 'inner', 'join', 'basic', 'sql', 'instruction', 'quick', 'fast', 'displaying', 'multiple', 'select', 'result', 'multiple', 'grid', 'show', 'column', 'index', 'foreign', 'key', 'table', 'double', 'tap', 'enter', 'table', 'launch', 'select', 'table', 'run', 'query', 'button', 'f5']",Developer tools  >  Database
4351,,"['uwp', 'exercising', 'azure', 'iothub', 'device', 'streaming', 'act', 'device', 'service', 'simultaneously', 'make', 'azdevicestreaming', 'library', 'github', 'djaus2/aziothubdevicestreaming']",Developer tools  >  Networking
4399,,"['demonstrates', 'capability', 'kimin', 'bluetooth', 'mesh', 'device', 'locally', 'monitor', 'control', 'smartluco-compatible', 'bluetooth', 'mesh', 'device', 'please', 'note', 'demo', 'intended', 'developer', 'service', 'technician', 'end', 'customer', 'smartluco', 'available', 'android', 'io']",Developer tools
4463,,"['c', 'developer', 'sometimes', 'color', 'time', 'see', 'name', 'color', 'see', 'color', 'application', 'preview', 'color', 'attribute', 'color', 'class', 'color', 'corresponding', 'rgb', 'value', 'convenient', 'choose', 'color']",Developer tools  >  Utilities
4493,,"['clockwork', 'runtime', 'allows', 'run', 'debug', 'based', 'clockwork', 'platform', 'clockwork', 'open', 'platform', 'developing', 'html5', 'based', 'modular', 'component', 'clockwork', 'runtime', 'uwp', 'provides', 'necessary', 'apis', 'load', 'run', 'debug', 'clockwork', 'publish']",Developer tools  >  Development kits
4511,,"['sensiml', 'toolkit', 'make', 'easy', 'turn', 'low', 'energy', 'sensor', 'smart', 'iot', 'event', 'detector', 'sensiml', 'testapp', 'application', 'viewing', 'live', 'event', 'classification', 'sensor', 'enhanced', 'sensiml', 'knowledge', 'pack', 'visualize', 'model', 'result', 'log', 'file', 'debug', 'enhance', 'model', 'visit', 'www.sensiml.com', 'find', 'sensiml', 'sensor', 'application']",Developer tools  >  Utilities
4517,,"['programmer', 'tool', 'help', 'uppercase', 't-sql', 'keywords', 'open', 'source', '//github.com/vitawebsitedesign/sql-keyword-formatter']",Developer tools  >  Database
4523,,"['ca', 'modbus', 'scanner', 'utility', 'retrieve', 'coil', 'input', 'holding', 'register', 'input', 'register', 'modbus-enabled', 'device', 'value', 'retrieved', 'device', 'viewed', 'many', 'different', 'format', 'including', 'binary', 'hex', 'uint16', 'int16', 'uint32', 'int32', 'float32']",Developer tools  >  Networking
4534,,"['automatization', 'easy', 'prepare', 'arduino', 'update', 'driver', 'usb', 'arduino', 'upload', 'sketch', 'standardfirmata', 'model', 'arduino', 'upload', 'sketch', 'using', 'application', 'arduino', 'ide', 'work', 'application', 'open', 'room', 'menu', 'add', 'room', 'connection', 'setting', 'arduino', 'activate', 'connection', 'arduino', 'pressing', 'power', 'switch', 'position', 'turn', 'room', 'add', 'arduino', 'connected', 'sensor', 'device', 'specifying', 'connector', 'type', 'pin', 'number', 'simple']",Developer tools  >  Utilities
4612,,"['created', '.net', 'developer', 'application', 'find', 'interesting', 'video', 'book', 'article', 'also', 'test', 'knowledge', 'test', 'exercise', 'collect', 'useful', 'information', '.net', 'developer', 'application']",Developer tools  >  Reference & training
4624,,"['hololens', 'port', 'getaviz', 'enables', 'visually', 'explore', 'software', 'artifact', 'mixed', 'reality', 'innovative', 'way', 'solve', 'software', 'engineering', 'problem', 'visualizes', 'java', 'testing', 'library', 'junit', 'using', 'city', 'metaphor', 'principially', 'visualize', 'system', 'java', 'c', 'c', 'ruby', 'well', 'information', 'visit', '//softvis.wifa.uni-leipzig.de', 'source', 'code', 'available', '//github.com/softvis-research/getaviz4hololens']",Developer tools  >  Design tools
4628,,"['definitive', 'testing', 'utility', 'hl7', 'fhirpath', 'expression', 'quickly', 'test', 'expression', 'hl7', 'fhir', 'document', 'dstu2', 'stu3', 'r4', 'format', 'dynamically']",Developer tools  >  Utilities
4633,,"['application', 'generate', 'guid', 'also', 'known', 'uuid', 'copy', 'clipboard', 'setting', 'configure', 'guids', 'uppercase', 'lowercase', 'guid', 'stand', 'globally', 'unique', 'identifier', 'uuid', 'stand', 'universally', 'unique', 'identifier', 'guids', 'widely', 'used', 'software']",Developer tools  >  Utilities
4700,,"['window', 'studio', 'installer', 'make', 'installing', 'window', 'studio', 'breeze', 'automatically', 'configure', 'device', 'deploy', 'window', 'studio', 'created', 'device', 'designed', 'simplify', 'installation', 'process', 'save', 'time', 'make', 'easy', 'share', 'window', 'studio', 'created']",Developer tools  >  Utilities
4748,,"['send', 'apdus', 'nfc', 'iso/iec', 'smart', 'card', 'show', 'response']",Developer tools  >  Utilities
4773,,"['tabris.js', 'developer', 'support', 'user', 'writing', 'testing', 'tabris.js', 'allows', 'explore', 'widget', 'example', 'provides', 'reference', 'available', 'tabris.js', 'framework', 'information', 'visit', '//tabrisjs.com']",Developer tools  >  Development kits
4801,,"['dsp', 'develop', 'designed', 'f28335']",Developer tools  >  Utilities
4870,,"['connecting', 'raptorlog', 'service', 'instance', 'view', 'log', 'event', 'basic', 'log', 'event', 'filtering', 'built-in', 'connection', 'management', 'connecting', 'multiple', 'instance', 'raptorlog', 'service', 'add', 'application', 'application', 'group', 'favorite', 'hub', 'light', 'dark', 'theme']",Developer tools  >  Utilities
4881,,"['experience', 'natural', 'way', 'interacting', 'hologram', 'mixed', 'reality', 'playground', 'summon', 'hummingbird', 'outstretched', 'hand', 'piano', 'finger', 'eye', 'magical', 'way', 'spoil', 'addition', 'great', 'place', 'showcase', 'developer', 'possible', 'mixed', 'reality', 'toolkit', 'available', '//aka.ms/mrtk']",Developer tools  >  Development kits
4883,,"['develop', 'deploy', 'across', 'multiple', 'device', 'componentone', 'studio', 'uwp', 'edition', 'grapecity', 'application', 'demonstrates', 'powerful', 'unique', 'control', 'included', 'edition', 'including', 'comprehensive', 'data', 'grid', 'chart', 'gauge', 'reporting', 'document', 'control', 'much', 'grapecity', 'largest', 'component', 'vendor', 'microsoft', 'visual', 'studio', 'partner', 'ecosystem']",Developer tools
4904,,"['parsing', 'tool', 'extended', 'data', 'processing', 'engine', 'capable', 'make', 'parsing', 'regular', 'extension', 'cs', 'template', 'simple', 'mask', 'others', 'write', 'parser', 'python', 'select', 'site', 'set', 'cs', 'mask', 'regex', 'result', 'visual', 'environment', 'easy', 'drag', 'element', 'canvas', 'connect', 'link', 'set', 'operation', 'detail', 'contains', 'tool', 'including', 'internet', 'parser', 'filter', 'value', 'extractor', 'store', 'data', 'csv', 'sql', 'server']",Developer tools  >  Design tools
4975,,"['mssql', 'data', 'entity', 'tool', 'develop', 'quick', 'convert', 'table', 'c', 'class', 'file.it', 'type', 'int', 'bigint', 'varchar', 'text']",Developer tools  >  Utilities
5007,,"['design', 'development', 'tool', 'create', 'custom', 'theme', 'window', 'universal', 'platform', 'tool', 'also', 'help', 'development', 'flow', 'generating', 'exporting', 'chosen', 'theme', 'xaml', 'markup', 'resource', 'dictionary', 'tool', 'source', 'public', 'github', '//github.com/microsoft/fluent-xaml-theme-editor']",Developer tools  >  Design tools
5065,,"['look', 'trying', 'build', 'ui', 'would', 'xaml', 'studio', 'microsoft', 'garage', 'project', 'rapidly', 'prototype', 'uwp', 'xaml', 'easily', 'copied', 'visual', 'studio', 'xaml', 'studio', 'let', 'preview', 'xaml', 'code', 'real-time', 'interact', 'result', 'running', 'instant', 'response', 'let', 'quickly', 'iterate', 'idea', 'visually', 'copy', 'example', 'doc', 'explore', 'test', 'final', 'behavior', 'time', 'easily', 'downloaded', 'store', 'even', 'download', 'started', 'prototyping', 'installing', 'visual', 'studio', 'xaml', 'studio', 'also', 'includes', 'suite', 'tool', 'develop', 'provide', 'data', 'context', 'ui', 'fill', 'static', 'test', 'data', 'live', 'data', 'json', 'rest', 'api', 'revolutionary', 'binding', 'debugging', 'see', 'back-end', 'data', 'source', 'connects', 'front-end', 'ui', 'spot', 'error', 'occurring', 'recent', 'value']",Developer tools  >  Design tools
5183,,"['send', 'firmware', 'ninebot', 'scooter', 'bluetooth', 'allows', 'downgrade', 'currently', 'encoded', 'fw', 'supported']",Developer tools  >  Utilities
5191,,"['trace', 'viewer', 'program', 'quickly', 'viewing', 'filtering', 'merging', 'tracelogging', 'trace', '.etl', 'file', 'designed', 'light-weight', 'alternative', 'wpa', 'window', 'performance', 'analyzer', 'view', 'tracelogging', 'event', 'etl', 'log', 'file', 'merge', 'multiple', 'log', 'file', 'single', 'view', 'multiple', 'window', 'view', 'side-by-side', 'viewing', 'copy', 'event', 'clipboard', 'filter', 'query', 'time', 'level', 'provider', 'event', 'name']",Developer tools  >  Utilities
5208,,"['calculator', 'developing', 'embedded', 'system']",Developer tools  >  Utilities
5414,,"['colorize', 'ux', 'going', 'allow', 'ux', 'designer', 'find', 'right', 'color', 'efficiently', 'fun']",Developer tools  >  Design tools
5478,,"['show', 'ip', 'address', 'lan', 'internet', 'calculate', 'broadcast', 'network', 'address', 'include', 'optional', 'notification', 'network', 'changed', 'show', 'ip', 'live', 'tile']",Developer tools  >  Networking
5484,,"['generate', 'guids']",Developer tools  >  Utilities
5500,,"['calculator', 'design', 'simple', 'antenna', 'thereby', 'implement', 'mean', 'piece', 'coaxial', 'cable', 'per', 'instruction', 'utilize', 'create', 'antenna', 'single', 'frequency', 'well', 'band', 'frequency']",Developer tools  >  Design tools
5596,,"['released', 'thursday', 'april', 'showcase', 'application', 'ventura', 'uwp', 'ventura', 'complete', 'system', 'rapid', 'development', 'lob', 'line', 'business', 'software', 'uwp', 'c', 'ventura', 'combination', 'software', 'development', 'framework', 'control', 'suite', '3-tier', 'sql', 'framework', 'c', 'project', 'database', 'access', 'service', 'integrated', 'single', 'solution', 'ventura', 'much', 'sum', 'part', 'component', 'perfectly', 'integrated', 'high', 'productivity', 'simplicity', 'developer', 'modern', 'super', 'responsive', 'user-interface', 'end-user', 'ventura', 'development', 'team', 'least', 'average-quality', 'developer', 'able', 'rapidly', 'produce', 'professional', 'consistent', 'result', 'ventura', 'currently', 'research', 'project', 'source', 'code', 'available', '//github.com/frankthvandeven/ventura-uwp-demo']",Developer tools  >  Development kits
5653,,"['check', 'broken', 'link', 'blog', 'also', 'check', 'broken', 'link', 'external', 'site', 'also', 'see', 'glance', 'link', 'also', 'see', 'status', 'code']",Developer tools  >  Networking
5672,,"['qbasic', 'quick', 'basic', 'interpreter.this', 'application', 'used', 'run', 'quick', 'basic', 'program', 'software', 'developed', 'windows10', 'desktop', 'tablet']",Developer tools  >  Development kits
5684,,"['browser', 'character', 'unicode', 'standard', 'browse', 'character', 'various', 'filter', 'type', 'code', 'value', 'information', 'corresponding', 'character', 'type', 'text', 'information', 'character', 'list', 'favorite', 'quickly', 'pick', 'frequently', 'used', 'character']",Developer tools  >  Utilities
